,hr,designer,information-technology,teacher,advocate,business-development,healthcare,fitness,agriculture,bpo,sales,consultant,digital-media,automobile,chef,finance,apparel,engineering,accountant,construction,public-relations,banking,arts,aviation
srtooling,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
architectural,1,37,6,5,0,1,0,0,1,0,0,2,0,0,1,2,2,11,1,19,2,8,2,4
presentation,27,40,10,10,20,28,12,17,14,1,16,19,15,4,96,25,20,14,21,10,37,21,20,8
salon,0,6,0,0,6,1,0,2,0,0,2,6,10,1,0,0,4,0,1,0,3,0,0,0
lead,61,105,89,77,51,82,54,57,37,27,39,69,113,18,58,61,70,114,52,54,44,81,45,50
production,15,149,73,6,30,37,22,17,45,8,64,108,171,28,130,26,212,240,38,87,100,82,66,141
digital,4,82,23,5,17,42,33,26,1,2,17,30,651,1,2,3,14,28,1,6,56,11,11,18
electrical,4,39,19,6,6,1,16,1,2,1,6,19,3,5,3,2,10,255,0,80,1,2,16,103
job,230,60,40,17,30,30,56,33,15,10,48,42,16,14,55,31,39,37,67,154,35,36,30,47
apparel,4,8,0,0,0,1,0,2,0,0,4,1,1,0,1,0,152,0,0,0,2,1,1,1
marketing,83,229,97,34,79,597,172,139,50,28,171,299,781,33,103,104,218,46,44,73,843,221,148,24
jewelry,0,36,0,1,0,0,0,4,0,0,8,4,0,0,2,0,12,0,0,0,0,0,6,1
kichenbath,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
personal,45,47,20,57,84,45,69,273,23,10,72,40,29,23,77,36,70,17,46,22,35,65,49,42
r,1,5,4,4,1,4,4,1,8,0,5,3,1,4,4,3,2,17,3,1,5,11,5,2
prepress,0,11,1,0,0,1,0,0,0,0,7,0,4,0,0,0,2,0,0,0,2,0,0,0
principle,0,9,4,1,3,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
zachory,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
program,209,108,127,142,160,122,154,243,193,20,49,143,96,28,63,108,72,100,65,66,175,142,189,208
3d,0,104,1,3,0,2,0,7,0,0,1,2,8,3,1,0,7,31,2,5,0,0,2,5
creative,23,121,11,36,26,49,23,20,11,5,40,30,138,6,37,16,76,6,13,8,119,23,89,12
branch,26,11,33,1,13,45,9,16,6,3,17,9,5,9,6,29,5,2,37,2,7,190,19,9
nx,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2
sales,108,200,81,85,330,1445,344,491,70,79,2448,302,337,100,248,377,686,97,253,110,327,541,207,121
osp,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18,0,0,0,0
fine,2,65,0,5,2,4,4,2,0,1,3,2,4,0,41,2,17,2,0,0,2,0,33,0
christopher,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
experienced,22,24,38,23,25,31,20,29,12,7,19,18,25,7,19,15,27,52,20,42,25,16,24,21
vp,12,5,15,0,2,18,5,5,4,4,3,6,16,0,0,27,8,8,7,1,11,12,0,0
administrator,35,3,94,5,9,12,31,7,5,2,7,39,14,4,6,14,10,15,25,7,14,12,15,15
vice,14,3,29,9,17,14,16,15,3,5,3,10,21,2,1,24,13,9,9,13,30,52,10,5
objective,0,6,5,1,9,8,2,9,10,3,2,7,1,2,0,5,4,11,0,11,3,8,7,6
epic,0,9,13,0,20,2,7,2,9,0,0,1,0,0,0,1,0,5,0,0,0,0,1,0
ea,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,2,0
head,8,13,7,28,18,8,2,29,5,4,4,3,6,4,49,19,19,9,7,11,6,17,10,8
manager,224,96,266,52,164,351,141,208,64,54,183,190,196,48,176,312,267,230,105,344,253,277,92,118
administrative,154,21,58,70,131,46,140,76,21,15,22,28,19,23,36,53,84,19,93,47,90,41,97,85
customer,227,192,301,126,927,503,439,575,119,95,804,317,228,287,371,232,492,216,210,205,250,440,274,354
support,212,95,680,124,200,170,249,96,63,82,84,309,177,84,64,155,82,230,127,81,149,170,169,253
database,94,47,313,23,83,38,67,34,32,7,32,157,31,31,8,51,30,82,61,20,67,71,37,54
consultant,28,45,43,2,32,44,43,20,17,1,27,589,32,8,29,18,22,9,20,8,24,41,19,8
operations,92,44,187,39,95,140,146,174,27,73,86,204,83,33,201,260,96,131,116,230,107,184,80,219
management,935,226,902,188,473,625,665,399,281,202,362,794,433,161,456,783,309,518,573,628,489,767,335,525
working,66,105,60,60,104,56,65,64,49,26,63,88,59,23,92,86,55,104,59,100,66,70,73,80
business,376,177,558,86,274,1900,376,216,111,129,242,666,347,92,191,604,277,168,370,172,282,721,107,159
adjunct,0,2,7,2,0,0,2,4,3,0,0,1,0,0,0,1,7,1,0,0,1,1,4,0
aspnet,0,7,45,0,0,0,1,0,0,0,0,16,0,0,0,0,0,11,0,2,0,4,0,0
system,186,99,587,42,147,88,191,59,117,42,72,286,111,75,34,220,74,305,240,105,75,167,94,231
staff,245,68,201,144,263,158,264,264,95,24,154,148,79,40,441,171,120,87,284,89,177,179,186,100
practice,8,6,13,17,27,14,72,15,20,4,2,23,7,1,9,16,3,10,8,5,7,13,10,6
amc,0,0,4,0,0,0,3,0,0,0,1,0,1,0,0,0,0,0,4,0,2,0,0,2
master,39,25,79,42,32,27,31,28,30,7,10,50,13,16,14,24,17,40,39,25,26,27,42,19
corporate,76,51,86,18,62,71,49,49,15,4,23,71,48,11,37,124,32,29,135,29,149,119,21,15
technology,28,62,742,72,49,84,87,17,55,22,21,138,87,13,10,41,32,162,19,54,42,74,104,77
subject,12,20,23,15,8,3,15,7,10,7,2,12,12,3,1,9,0,7,2,3,10,8,4,10
training,493,206,308,147,282,263,267,474,130,63,227,292,128,71,326,155,172,202,142,172,144,240,232,472
teacher,7,9,8,817,18,7,31,37,26,0,8,2,8,2,15,1,12,2,2,4,5,2,191,0
math,1,11,1,84,5,0,0,5,4,0,6,4,0,1,15,1,2,8,1,2,2,7,19,9
kindergarten,0,0,0,28,1,0,0,3,0,0,0,0,0,0,8,0,1,4,0,0,0,0,3,0
english,25,41,14,79,26,25,27,23,29,9,27,26,28,14,24,34,24,12,22,38,42,28,147,27
substitute,0,4,0,54,5,1,2,2,1,0,4,0,6,0,9,0,6,2,1,0,1,0,10,1
preservice,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
inclusion,4,2,3,15,2,1,0,3,4,0,0,0,1,0,0,0,0,0,1,0,8,2,4,0
directorpreschool,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
preschool,0,1,2,49,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
bi,10,2,12,4,0,8,4,1,2,3,1,9,7,0,1,4,2,0,10,3,4,6,1,1
guest,8,17,0,15,5,13,13,23,0,9,22,10,3,3,90,4,10,3,1,4,22,13,14,4
art,11,161,5,41,9,3,16,4,6,3,7,11,46,0,15,4,26,3,3,12,21,8,176,9
associate,67,50,63,44,51,44,58,55,33,22,176,44,36,22,82,38,103,31,34,37,62,54,51,44
science,68,73,150,169,90,97,98,139,119,22,38,101,57,26,74,72,39,145,81,61,84,55,76,94
spanish,18,27,11,45,26,22,21,20,9,4,21,16,27,3,21,17,24,7,17,23,28,26,23,21
history,17,38,24,91,46,26,39,31,14,4,28,27,28,10,29,22,22,28,27,42,47,31,40,33
kimberly,5,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
tw,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
classroom,6,11,11,313,23,5,18,21,19,0,10,7,9,1,10,0,1,2,1,4,5,0,123,3
marilyn,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
kpandipou,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reading,5,13,6,137,11,11,22,8,6,0,15,4,3,0,5,8,2,17,7,22,23,12,126,21
biology,1,5,6,22,2,2,10,3,20,0,4,4,0,0,8,0,2,5,0,1,4,2,8,3
homebound,0,0,0,16,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
engineering,13,116,101,27,15,47,15,16,24,7,11,84,28,15,8,25,29,1481,3,204,10,21,8,138
advocate,2,7,4,3,266,0,13,3,0,0,1,1,1,4,0,2,5,1,0,3,5,7,0,2
donor,0,3,1,0,13,1,0,0,2,2,0,3,16,0,2,3,1,0,2,0,7,0,10,5
health,73,49,48,57,261,57,413,286,102,8,54,123,18,14,122,40,26,15,42,42,68,48,61,39
family,14,15,4,38,90,10,54,18,20,0,16,16,6,3,22,8,8,2,4,20,16,14,18,16
patient,11,23,18,39,288,26,438,79,24,6,31,28,11,8,43,13,5,4,24,15,14,6,49,32
consumer,11,8,7,5,22,25,20,2,5,2,9,15,28,6,21,11,11,11,3,22,31,69,4,0
youth,0,4,6,38,28,7,1,20,15,0,1,7,2,3,9,3,6,6,3,0,20,10,35,3
community,35,48,23,104,213,82,108,109,109,2,34,75,48,13,77,34,58,35,35,71,176,91,153,39
victim,0,2,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0
benefit,66,3,6,6,30,13,10,5,4,4,4,12,13,9,2,26,2,7,18,2,10,11,4,5
member,58,65,54,74,111,67,84,165,60,8,67,68,58,27,77,48,40,44,38,46,73,96,103,63
shelter,1,1,0,1,40,1,1,0,2,0,1,5,0,0,0,1,2,1,0,1,2,0,7,0
fulfillment,8,2,3,1,6,6,1,2,0,6,5,7,4,0,1,0,4,5,2,3,2,8,3,5
disability,33,0,3,0,15,1,6,0,5,1,0,2,6,0,0,3,1,0,5,1,0,2,3,3
veteran,0,0,3,6,11,3,2,2,1,0,0,3,1,0,0,0,0,1,0,5,1,2,2,4
school,56,90,43,318,148,60,93,113,96,17,152,55,65,29,120,54,75,63,50,95,79,64,386,121
gradation,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bilingual,8,8,3,12,29,6,8,14,2,1,15,1,6,2,14,7,7,2,11,5,10,3,15,8
child,12,1,5,75,125,0,17,31,4,1,3,7,0,2,3,0,8,0,14,1,10,3,17,2
quality,105,113,145,39,149,113,237,110,89,62,124,160,75,60,330,79,145,310,54,213,74,186,68,254
court,4,0,9,5,75,6,8,7,10,0,2,2,3,4,5,3,16,1,4,3,2,1,5,3
client,87,127,171,24,210,283,184,113,24,95,104,262,203,42,63,101,93,72,89,64,152,290,60,40
case,21,7,16,15,117,25,61,17,17,8,13,30,11,16,11,20,8,13,8,6,15,30,4,7
domestic,5,12,6,6,65,12,8,1,5,2,2,9,7,4,3,15,31,4,10,1,6,13,4,9
revenue,9,10,27,13,46,202,69,54,13,15,35,96,94,7,72,105,33,17,129,26,27,63,7,30
vzw,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clinical,3,25,22,9,92,16,200,56,12,4,5,30,4,11,7,6,0,17,3,1,18,6,17,9
ph,0,0,4,0,12,0,0,2,3,0,0,0,0,3,0,0,0,2,2,2,0,0,1,0
service,199,150,256,152,537,299,298,397,100,84,527,221,131,175,466,165,290,197,133,173,192,383,238,245
merchant,0,7,1,0,13,1,3,1,0,0,1,0,2,0,1,2,6,1,2,0,0,17,0,3
transitional,0,2,0,1,4,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,2,2,4
center,42,29,102,24,92,56,93,126,31,26,24,69,30,39,25,34,32,46,29,35,58,123,50,61
market,35,24,23,19,49,249,88,36,15,5,72,147,115,11,46,47,87,32,16,31,103,132,10,17
sexual,11,1,0,1,33,0,9,1,2,0,1,0,1,0,1,1,0,0,0,1,1,0,2,0
direct,36,20,22,23,39,87,43,28,18,13,35,27,44,12,31,45,22,27,23,26,57,47,23,38
mds,1,0,0,0,21,0,14,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
express,1,5,8,7,10,8,1,1,1,0,1,4,3,1,1,3,2,6,10,1,6,1,0,5
nurse,0,3,0,1,67,4,92,24,7,0,3,18,0,1,1,0,4,0,0,0,5,2,7,5
registered,1,4,1,1,25,1,47,26,0,0,3,3,1,1,2,1,0,2,2,4,5,12,3,4
rn,0,0,0,1,32,4,27,6,10,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0
presidentchief,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
faculty,12,18,20,23,9,1,17,9,5,0,2,7,5,1,2,7,8,5,5,11,21,1,45,4
admissions,2,2,1,0,15,14,5,2,0,1,3,6,3,0,0,1,0,0,0,0,21,1,6,0
practicum,0,0,0,2,8,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,2,0
human,592,32,22,22,130,45,54,82,24,16,21,65,34,14,26,69,35,12,42,12,78,45,57,43
landscaper,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
administration,223,32,172,50,127,87,145,45,49,24,27,123,39,27,45,122,40,56,124,74,65,75,81,94
intern,18,8,30,5,27,11,24,29,25,0,11,11,42,2,12,6,6,72,3,6,74,23,30,6
level,94,28,91,55,78,52,55,75,34,27,36,58,36,21,34,47,47,75,33,53,41,77,50,75
charge,7,8,12,3,22,9,19,13,5,3,10,6,10,7,29,15,20,5,16,12,8,7,11,26
finance,44,7,29,1,25,58,21,16,23,4,12,64,27,4,6,1156,6,10,194,19,30,147,25,13
phlebotomist,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overnight,3,0,1,3,7,1,0,2,0,1,5,0,0,0,0,1,1,0,0,0,0,2,0,0
organizer,1,0,1,1,6,2,0,0,0,0,1,0,0,0,2,0,0,2,0,0,4,0,2,3
driver,1,4,2,5,6,3,3,11,6,1,7,4,0,6,3,2,1,4,0,3,6,0,4,10
district,13,11,18,57,34,17,20,14,22,0,12,8,3,16,13,8,15,4,4,10,20,14,55,8
founder,0,5,0,2,3,6,2,2,1,1,0,3,5,0,1,2,2,1,0,1,5,8,0,0
international,22,44,27,26,45,120,33,36,61,13,14,72,42,19,37,53,50,25,64,30,81,49,33,41
se,0,0,0,0,0,6,1,0,1,0,0,1,0,0,0,3,0,1,0,12,0,0,0,3
partner,58,4,25,7,15,40,17,4,2,2,8,22,28,8,2,25,12,4,8,4,17,36,6,1
staffing,153,2,8,2,24,46,89,19,6,15,28,30,4,4,49,20,17,17,7,11,14,33,7,17
new,433,214,356,121,251,627,333,296,108,71,308,339,275,57,276,222,291,303,209,291,267,375,169,166
healthcare,18,11,14,9,53,32,552,15,9,4,6,50,11,5,4,15,1,5,3,12,28,17,17,1
g,1,0,1,1,0,0,9,2,6,0,2,3,8,0,0,0,0,2,0,2,5,2,3,0
preventative,1,0,7,0,4,0,6,3,1,0,1,3,1,0,0,0,6,5,0,7,0,1,6,11
highly,39,21,35,28,30,45,42,29,13,0,32,31,21,7,33,29,33,28,23,29,31,31,34,39
rachael,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
home,10,59,10,24,55,34,99,15,5,9,28,24,9,12,30,17,19,11,15,41,14,44,17,12
licensed,0,9,2,6,17,5,40,7,5,1,3,2,2,4,1,1,4,1,3,4,2,8,7,5
professional,203,128,203,174,209,202,254,239,118,43,141,165,119,44,183,156,138,114,152,168,194,156,203,169
cna,1,1,5,1,4,1,25,2,0,0,0,3,0,0,3,1,2,0,0,2,0,0,0,0
platform,3,16,38,1,6,17,26,2,6,8,7,24,40,3,0,9,7,27,1,11,4,31,9,16
pharmaceutical,0,0,8,1,5,6,28,8,4,1,1,9,0,0,1,2,0,3,0,0,7,0,1,0
behavioral,2,1,3,35,22,5,27,4,9,4,5,3,5,3,3,0,4,3,2,0,1,2,23,2
medical,63,22,42,36,199,37,496,91,24,5,52,68,19,23,37,21,6,45,52,16,48,11,78,47
team,217,201,320,147,286,277,311,262,163,130,256,305,255,77,303,285,260,396,154,268,241,360,203,206
chief,5,8,24,1,11,5,9,3,9,5,2,10,19,0,2,12,1,8,14,9,23,9,14,11
impact,11,10,11,7,9,11,16,6,13,7,4,21,8,1,0,16,7,5,10,6,13,38,7,4
advisor,7,3,3,13,17,5,14,9,18,0,7,10,7,0,0,7,8,2,5,1,17,25,17,7
office,261,133,244,112,248,137,247,165,114,54,146,188,112,61,68,253,185,170,280,182,234,196,161,155
account,39,19,29,11,60,218,105,53,13,36,65,111,117,26,30,180,56,16,316,22,106,157,33,50
recruiter,23,0,0,0,9,7,33,2,1,4,1,1,0,4,6,0,0,0,0,0,2,1,0,2
aircraft,0,11,4,0,2,3,9,1,2,0,2,4,0,19,4,2,0,32,0,7,0,1,0,366
sleep,0,0,0,0,0,0,14,1,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,0
certified,31,24,138,51,44,28,108,177,28,9,20,78,19,16,63,54,26,42,42,76,11,32,61,58
enumerator,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
engineer,8,51,85,4,12,14,6,6,8,20,14,58,15,23,1,6,9,217,1,102,2,9,11,57
occupational,3,2,2,2,3,2,34,1,6,0,0,1,1,0,8,0,0,0,0,5,1,0,3,16
claims,57,5,7,4,87,5,91,5,16,76,13,17,2,115,7,14,21,0,30,11,5,24,10,4
surgical,0,1,0,0,14,1,33,19,1,0,3,1,0,0,0,0,0,0,2,0,0,0,2,10
key,89,35,73,32,31,153,74,46,25,31,38,81,91,17,17,82,80,46,38,25,93,72,17,44
facility,16,21,20,17,22,10,53,111,16,2,22,14,11,4,49,12,17,46,12,61,18,15,15,44
hiring,184,5,15,10,28,28,66,26,0,28,16,12,15,5,66,23,38,21,13,19,14,23,21,4
communicable,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supervisor,41,17,45,21,61,23,42,27,45,5,26,17,25,7,25,23,37,66,40,56,26,37,22,121
pa,1,1,2,2,3,3,12,2,2,0,1,2,1,0,2,0,4,0,0,9,7,2,3,6
nc,7,5,3,1,5,3,12,10,3,1,1,0,0,1,1,3,4,1,4,3,5,1,5,1
dining,3,10,0,3,5,0,17,7,0,0,15,2,0,0,157,1,6,1,0,0,5,2,5,2
emergency,5,1,5,10,32,7,42,27,11,2,10,11,7,14,7,3,6,17,4,30,9,3,24,37
cashier,2,9,2,7,13,3,8,19,5,0,47,9,2,2,12,0,49,0,21,4,13,8,13,7
hospital,14,9,14,6,46,24,104,17,9,4,17,34,6,0,15,18,1,9,18,20,30,2,10,8
marketer,0,0,0,0,0,2,4,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0
commission,3,3,3,4,2,2,25,5,3,0,1,11,2,2,3,24,4,5,11,7,7,4,5,1
audit,29,2,29,3,9,12,26,7,15,3,6,59,4,5,7,183,29,8,141,6,15,28,16,5
owner,8,25,6,3,4,5,5,6,4,0,19,17,10,5,20,7,19,6,13,51,9,7,8,4
national,17,32,44,53,46,72,52,47,48,5,24,57,41,13,39,40,26,33,26,26,187,38,72,70
electronic,20,19,60,10,34,7,45,14,12,5,13,23,22,11,4,13,13,58,21,36,18,19,12,74
admin,3,0,11,0,1,0,9,0,1,2,0,4,3,0,2,6,3,1,6,1,0,5,1,1
fitness,0,7,0,4,6,5,15,805,2,0,3,3,1,0,0,1,4,2,0,8,6,11,12,2
group,70,37,96,97,52,34,48,228,20,17,20,50,38,14,27,41,17,39,20,26,34,59,68,29
directorpresident,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
equipment,24,67,132,38,79,42,99,186,40,8,96,96,45,19,202,28,86,406,26,288,48,25,62,312
aba,1,0,0,0,3,0,2,4,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0
yoga,0,0,0,1,1,0,0,52,0,0,6,0,0,0,0,1,6,0,0,0,4,0,0,0
recreation,2,3,1,7,0,4,0,44,6,0,0,1,2,4,0,0,5,0,0,0,5,2,3,3
care,28,46,22,53,288,49,535,108,44,11,77,48,24,18,49,30,29,21,26,24,27,26,40,42
ws,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
advocare,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rehabilitation,2,2,4,4,6,5,9,31,4,0,0,4,2,0,0,1,2,0,1,0,7,0,3,0
night,1,3,1,3,6,2,2,15,4,0,7,2,3,1,22,2,2,5,1,4,7,3,5,6
athletic,0,3,0,12,3,5,2,49,1,0,0,2,1,0,3,1,9,1,0,2,4,1,2,1
receiving,10,11,7,9,22,1,9,11,5,2,34,11,15,3,57,9,28,16,16,19,13,13,22,43
online,27,64,27,21,34,48,31,48,14,8,13,36,128,15,8,12,25,8,34,7,63,52,39,11
floaterteacher,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
owneroperator,1,0,0,4,0,0,0,8,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
adventure,1,1,0,0,2,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
veterinary,0,0,0,2,0,0,0,14,5,0,2,1,0,0,0,0,0,0,0,1,0,0,0,1
rnrn,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
interim,0,0,0,2,4,1,4,4,1,0,0,3,6,1,1,2,1,0,8,0,2,0,1,2
store,35,60,14,36,75,53,37,76,19,9,275,39,15,14,32,32,338,14,22,34,42,38,48,32
mover,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
concierge,1,0,0,0,0,0,1,6,0,0,2,0,1,0,2,0,0,0,0,1,1,0,0,3
site,24,65,46,23,17,19,10,18,36,12,12,38,52,19,16,13,14,54,13,271,45,11,32,12
procurement,4,17,38,1,7,8,8,17,3,10,10,21,11,2,13,42,12,22,24,65,12,6,6,34
accommodation,2,1,0,0,0,0,1,4,0,1,0,1,0,0,0,2,0,0,0,0,0,2,0,3
kids,3,0,4,9,3,4,0,36,5,0,1,0,2,0,2,1,2,0,0,0,9,1,10,1
social,28,28,12,142,114,64,51,58,36,7,25,67,369,2,24,20,64,9,5,9,290,29,98,19
receptionist,21,3,9,8,17,5,11,14,3,3,18,5,3,3,6,6,11,7,2,8,5,4,14,9
wellness,19,5,1,3,19,2,25,182,0,0,1,5,0,0,2,0,1,0,0,1,6,2,4,0
membership,5,1,2,0,1,15,19,49,2,0,7,2,7,9,4,6,6,1,2,2,19,13,8,1
physical,1,11,32,50,49,10,47,99,16,0,11,14,4,4,2,14,11,16,14,18,2,3,27,24
flight,3,1,5,2,1,1,1,6,1,0,8,0,1,3,1,5,3,10,2,6,0,0,4,189
avid,2,4,0,0,0,2,0,16,0,1,0,5,8,0,0,0,0,0,0,1,0,0,3,2
server,5,30,343,1,47,12,18,11,4,33,17,161,37,26,18,2,6,56,3,10,11,30,8,37
rd,2,2,3,0,0,2,19,7,2,0,2,2,1,1,1,1,1,15,0,3,2,0,1,2
agriculture,0,0,0,7,0,0,0,0,154,0,0,2,0,1,0,0,0,0,0,0,0,0,1,2
uttsu,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fellow,1,2,3,24,4,0,6,7,10,0,3,0,1,1,12,2,1,3,1,1,8,4,8,4
ecommerce,1,3,7,0,0,10,2,1,8,5,1,17,44,1,2,3,15,10,1,3,4,7,0,4
